"city","population","country","lat","lng"
"Istanbul",14804116,"Turkey",41.0138,28.9497
"Cairo",7734614,"Egypt",30.0626,31.2497
"Baghdad",7216000,"Iraq",33.3406,44.4009
"Tehran",7153309,"Iran",35.6944,51.4215
"Riyadh",4205961,"Saudi Arabia",24.6877,46.7219
"Alexandria",3811516,"Egypt",31.2018,29.9158
"Ankara",3517182,"Turkey",39.9199,32.8543
"Jeddah",2867446,"Saudi Arabia",21.5424,39.198
"Basrah",2600000,"Iraq",30.5085,47.7804
"Izmir",2500603,"Turkey",38.4127,27.1384
"Giza",2443203,"Egypt",30.0081,31.2109
"Mashhad",2307177,"Iran",36.3156,59.568
"Al Mawsil al Jadidah",2065597,"Iraq",36.3327,43.1055
"Al Basrah al Qadimah",2015483,"Iraq",30.5032,47.8151
"Sanaa",1937451,"Yemen",15.3547,44.2067
"Beirut",1916100,"Lebanon",33.8933,35.5016
"Mosul",1739800,"Iraq",36.335,43.1189
"Aleppo",1602264,"Syria",36.2012,37.1612
"Damascus",1569394,"Syria",33.5102,36.2913
"Isfahan",1547164,"Iran",32.6525,51.6746
"Karaj",1448075,"Iran",35.8327,50.9916
"Tabriz",1424641,"Iran",38.08,46.2919
"Bursa",1412701,"Turkey",40.1956,29.0601
"Mecca",1323624,"Saudi Arabia",21.4266,39.8256
"Medina",1300000,"Saudi Arabia",24.4686,39.6142
"Amman",1275857,"Jordan",31.9552,35.945
"Ra's Bayrut",1251739,"Lebanon",33.9,35.4833
"Shiraz",1249942,"Iran",29.6103,52.5311
"Adana",1248988,"Turkey",37.0017,35.3289
"Dubai",1137347,"United Arab Emirates",25.0657,55.1713
"Gaziantep",1065975,"Turkey",37.0594,37.3825
"Sultanah",946697,"Saudi Arabia",24.4926,39.5857
"Erbil",932800,"Iraq",36.1833,44.0119
"Abu Ghurayb",900000,"Iraq",33.3056,44.1848
"Qom",900000,"Iran",34.6401,50.8764
"Konya",875530,"Turkey",37.8713,32.4846
"Ahvaz",841145,"Iran",31.319,48.6842
"Jerusalem",801000,"Israel",31.769,35.2163
"Muscat",797000,"Oman",23.5841,58.4078
"Zarqa",792665,"Jordan",32.0728,36.088
"Cankaya",792189,"Turkey",39.9179,32.8627
"Pasragad Branch",787878,"Iran",34.7777,48.4717
"Homs",775404,"Syria",34.7268,36.7234
"Dammam",768602,"Saudi Arabia",26.4344,50.1033
"Kahriz",766706,"Iran",34.3838,47.0553
"Antalya",758188,"Turkey",36.9081,30.6956
"Bagcilar",724270,"Turkey",41.039,28.8567
"As Sulaymaniyah",723170,"Iraq",35.565,45.4329
"Diyarbakir",644763,"Turkey",37.9136,40.2172
"Al Ahmadi",637411,"Kuwait",29.0769,48.0839
"Kermanshah",621100,"Iran",34.3142,47.065
"Al Hudaydah",617871,"Yemen",14.7978,42.9545
"Ta`izz",615222,"Yemen",13.5795,44.0209
"Abu Dhabi",603492,"United Arab Emirates",24.4667,54.3667
"Kirkuk",601433,"Iraq",35.4681,44.3922
"Rasht",594590,"Iran",37.2761,49.5886
"Kayseri",592840,"Turkey",38.7322,35.4853
"UEskuedar",582666,"Turkey",41.0225,29.0237
"Kerman",577514,"Iran",30.2832,57.0788
"Orumiyeh",577307,"Iran",37.5527,45.076
"Bahcelievler",576799,"Turkey",41.0023,28.8598
"Umraniye",573265,"Turkey",41.0164,29.1248
"Zahedan",551980,"Iran",29.4963,60.8629
"Aden",550602,"Yemen",12.7794,45.0367
"Sharjah",543733,"United Arab Emirates",25.3374,55.4121
"Port Said",538378,"Egypt",31.2565,32.2841
"Mersin",537842,"Turkey",36.812,34.6389
"Ta'if",530848,"Saudi Arabia",21.2703,40.4158
"Hamadan",528256,"Iran",34.7992,48.5146
"Esenler",520235,"Turkey",41.0435,28.8762
"Eskisehir",514869,"Turkey",39.7767,30.5206
"Azadshahr",514102,"Iran",34.7905,48.5701
"Arak",503647,"Iran",34.0949,49.6981
"Suez",488125,"Egypt",29.9737,32.5263
"Najaf",482576,"Iraq",32.0259,44.3462
"Yazd",477905,"Iran",31.8972,54.3675
"Hamah",460602,"Syria",35.1318,36.7578
"Karabaglar",458000,"Turkey",38.374,27.1352
"Tabuk",455450,"Saudi Arabia",28.3998,36.5715
"Muratpasa",450000,"Turkey",36.8916,30.765
"Sanliurfa",449549,"Turkey",37.1671,38.7939
"Malatya",441805,"Turkey",38.3502,38.3167
"Sultangazi",436935,"Turkey",41.1065,28.8685
"Karbala",434450,"Iraq",32.616,44.0249
"Tel Aviv",432892,"Israel",32.0809,34.7806
"Al Mahallah al Kubra",431052,"Egypt",30.9706,31.1669
"East Jerusalem",428304,"Palestine",31.7834,35.2339
"Maltepe",427040,"Turkey",40.9357,29.1551
"Al Kharj",425300,"Saudi Arabia",24.1554,47.3346
"Luxor",422407,"Egypt",25.6989,32.6421
"Erzurum",420691,"Turkey",39.9086,41.2769
"Asyut",420585,"Egypt",27.181,31.1837
"Al Mansurah",420195,"Egypt",31.0364,31.3807
"Ardabil",410753,"Iran",38.2498,48.2933
"Gaza",410000,"Palestine",31.5016,34.4667
"Al Ain",408733,"United Arab Emirates",24.1917,55.7606
"Tanda",404901,"Egypt",30.7885,31.0019
"Nasiriyah",400249,"Iraq",31.058,46.2573
"West Jerusalem",400000,"Israel",31.782,35.2196
"Samsun",394050,"Turkey",41.2798,36.3361
"Buraydah",391336,"Saudi Arabia",26.326,43.975
"Khamis Mushait",387553,"Saudi Arabia",18.3,42.7333
"Batman",381990,"Turkey",37.8874,41.1322
"Kahramanmaras",376045,"Turkey",37.5847,36.9264
"Van",371713,"Turkey",38.4946,43.3832
"Abadan",370180,"Iran",30.3392,48.3043
"Atasehir",361615,"Turkey",40.9833,29.1167
"Zanjan",357471,"Iran",36.6764,48.4963
"Bandar Abbas",352173,"Iran",27.1865,56.2808
"Sanandaj",349176,"Iran",35.3149,46.9988
"Doha",344939,"Qatar",25.2854,51.531
"Latakia",340181,"Syria",35.5317,35.7901
"Qazvin",333635,"Iran",36.2688,50.0041
"Khorramshahr",330606,"Iran",30.4408,48.1843
"Khorramabad",329825,"Iran",33.4878,48.3558
"Al 'Amarah",323302,"Iraq",31.8356,47.1448
"Ad Diwaniyah",318801,"Iraq",31.9929,44.9255
"Al Kut",315162,"Iraq",32.5128,45.8182
"Sisli",314684,"Turkey",41.0605,28.9872
"Denizli",313238,"Turkey",37.7742,29.0875
"Irbid",307480,"Jordan",32.5556,35.85
"Al Fayyum",306393,"Egypt",29.3099,30.8418
"Batikent",300000,"Turkey",39.9683,32.7308
"Elazig",298004,"Turkey",38.6743,39.2232
"Al Hufuf",293179,"Saudi Arabia",25.3647,49.5876
"Al Mubarraz",290802,"Saudi Arabia",25.4077,49.5903
"Al Hillah",289709,"Iraq",32.4637,44.4196
"Zeytinburnu",288743,"Turkey",40.9944,28.9042
"Adapazari",286787,"Turkey",40.7806,30.4033
"Sultanbeyli",286622,"Turkey",40.9607,29.2707
"Zagazig",285097,"Egypt",30.5877,31.502
"Ismailia",284813,"Egypt",30.6043,32.2723
"Dihok",284000,"Iraq",36.8671,42.9884
"Gebze",281436,"Turkey",40.8028,29.4307
"Merkezefendi",280341,"Turkey",37.8054,29.0424
"Khomeyni Shahr",277334,"Iran",32.6856,51.5361
"Ramadi",274539,"Iraq",33.4206,43.3078
"Ar Rayyan",272465,"Qatar",25.2919,51.4244
"Hafar Al-Batin",271642,"Saudi Arabia",28.4328,45.9708
"Russeifa",268237,"Jordan",32.0178,36.0464
"Kafr ad Dawwar",267370,"Egypt",31.1338,30.1297
"Haifa",267300,"Israel",32.8184,34.9885
"Ha'il",267005,"Saudi Arabia",27.5219,41.6907
"Sivas",264022,"Turkey",39.7483,37.0161
"Najran",258573,"Saudi Arabia",17.4933,44.1277
"Mukalla",258132,"Yemen",14.5425,49.1242
"Tarsus",256482,"Turkey",36.9177,34.8928
"Sari",255396,"Iran",36.5633,53.0601
"Borujerd",251958,"Iran",33.8973,48.7516
"Qarchak",251834,"Iran",35.4287,51.5754
"Gorgan",244937,"Iran",36.8427,54.4439
"Trabzon",244083,"Turkey",41.005,39.7269
"Manisa",243971,"Turkey",38.612,27.4265
"Deir ez-Zor",242565,"Syria",35.3359,40.1408
"Aswan",241261,"Egypt",24.0908,32.8994
"Sancaktepe",241000,"Turkey",41.0024,29.2319
"Balikesir",238151,"Turkey",39.6492,27.8861
"Seeb",237816,"Oman",23.6703,58.1891
"Al Jubayl",237274,"Saudi Arabia",27.0174,49.6225
"Qina",235362,"Egypt",26.1642,32.7267
"Ibb",234837,"Yemen",13.9667,44.1833
"Halwan",230000,"Egypt",29.8414,31.3008
"Tripoli",229398,"Lebanon",34.4335,35.8442
"Damanhur",227943,"Egypt",31.0341,30.4682
"Al Minya",227150,"Egypt",28.1099,30.7503
"Sabzevar",226183,"Iran",36.2126,57.6819
"Ajman",226172,"United Arab Emirates",25.4111,55.435
"Ashdod",224656,"Israel",31.7921,34.6497
"Adiyaman",223744,"Turkey",37.7644,38.2763
"Najafabad",223450,"Iran",32.6344,51.3668
"Neyshabur",220929,"Iran",36.2133,58.7957
"Rishon LeZiyyon",220492,"Israel",31.971,34.7894
"Nazarabad",213388,"Iran",35.9541,50.6061
"Bukan",213331,"Iran",36.521,46.2089
"Esenyurt",211330,"Turkey",41.027,28.6773
"Kirikkale",211138,"Turkey",39.8453,33.5064
"Abha",210886,"Saudi Arabia",18.2164,42.5053
"Idku",210678,"Egypt",31.3073,30.2981
"Antakya",210000,"Turkey",36.2066,36.1572
"Sohag",209419,"Egypt",26.5569,31.6948
"Sirjan",207645,"Iran",29.4514,55.6809
"Osmaniye",202837,"Turkey",37.0742,36.2478
"Babol",202796,"Iran",36.5513,52.679
"Corlu",202578,"Turkey",41.1592,27.8
"Nicosia",200452,"Cyprus",35.1753,33.3642
"Yanbu",200161,"Saudi Arabia",24.0895,38.0618
"New Cairo",200000,"Egypt",30.03,31.47
"Petah Tiqwa",200000,"Israel",32.0871,34.8875
"Amol",199382,"Iran",36.4696,52.3507
"Arnavutkoey",198165,"Turkey",41.1836,28.7402
"Birjand",196982,"Iran",32.8663,59.2211
"Izmit",196571,"Turkey",40.7669,29.9169
"Basaksehir",193750,"Turkey",41.0931,28.802
"Bojnurd",192041,"Iran",37.4747,57.329
"Al Fallujah",190159,"Iraq",33.3491,43.786
"Bani Suwayf",189624,"Egypt",29.0744,31.0979
"Beersheba",186600,"Israel",31.2518,34.7913
"Shibin al Kawm",186345,"Egypt",30.5526,31.009
"Kutahya",185008,"Turkey",39.4242,29.9833
"Corum",183418,"Turkey",40.5489,34.9533
"Wadi as Sir",181212,"Jordan",31.9545,35.8183
"Varamin",179603,"Iran",35.3242,51.6457
"Ar Raqqah",177636,"Syria",35.9528,39.0079
"Malayer",176573,"Iran",34.3016,48.8217
"Saveh",175533,"Iran",35.0213,50.3566
"Khowy",175370,"Iran",38.5503,44.9521
"Siverek",175341,"Turkey",37.755,39.3167
"Khan Yunis",173183,"Palestine",31.3402,34.3063
"Isparta",172334,"Turkey",37.7644,30.5522
"Netanya",171676,"Israel",32.3329,34.8599
"Jabalya",168568,"Palestine",31.5272,34.4835
"Banha",167029,"Egypt",30.4598,31.1842
"Khobar",165799,"Saudi Arabia",26.2794,50.2083
"Holon",165787,"Israel",32.0103,34.7792
"Bushehr",165377,"Iran",28.9689,50.8366
"Hawalli",164212,"Kuwait",29.3328,48.0286
"Sidon",163554,"Lebanon",33.5575,35.3715
"Salalah",163140,"Oman",17.0151,54.0924
"Bueyuekcekmece",163140,"Turkey",41.0207,28.585
"Aydin",163022,"Turkey",37.845,27.8396
"Mahabad",162434,"Iran",36.7631,45.7222
"Hebron",160470,"Palestine",31.5294,35.0938
"Dhamar",160114,"Yemen",14.5427,44.4051
"Iskenderun",159965,"Turkey",36.5872,36.1735
"Bawshar",159487,"Oman",23.5777,58.3998
"Samarra'",158508,"Iraq",34.1959,43.8857
"Talkha",157737,"Egypt",31.0539,31.3779
"Bnei Brak",154400,"Israel",32.0807,34.8338
"Viransehir",154163,"Turkey",37.2235,39.7552
"Limassol",154000,"Cyprus",34.6841,33.0379
"As Samawah",152890,"Iraq",31.332,45.2944
"Usak",152862,"Turkey",38.6735,29.4058
"Baqubah",152550,"Iraq",33.754,44.6052
"Aksaray",152201,"Turkey",38.3726,34.0254
"Saqqez",151237,"Iran",36.2499,46.2735
"Kiziltepe",150174,"Turkey",37.1884,40.5772
"Arar",148540,"Saudi Arabia",30.9753,41.0381
"Rafsanjan",147680,"Iran",30.4067,55.9939
"As Salimiyah",147649,"Kuwait",29.3339,48.0761
"Manama",147074,"Bahrain",26.2279,50.5857
"Afyonkarahisar",146136,"Turkey",38.7567,30.5433
"Kafr ash Shaykh",143970,"Egypt",31.1117,30.9399
"Mallawi",142504,"Egypt",27.7314,30.8417
"Ilam",140940,"Iran",33.6374,46.4227
"Sabah as Salim",139163,"Kuwait",29.2572,48.0572
"Dikirnis",137542,"Egypt",31.089,31.5948
"Tyre",135204,"Lebanon",33.2733,35.1939
"Inegol",133959,"Turkey",40.0781,29.5133
"Idfu",133000,"Egypt",24.9792,32.8772
"Miandoab",132819,"Iran",36.9667,46.1096
"Rehovot",132671,"Israel",31.8942,34.812
"Shahrud",131889,"Iran",36.4182,54.9763
"Gonbad-e Kavus",131416,"Iran",37.25,55.1672
"Iranshahr",131232,"Iran",27.2024,60.6848
"Al Bab",130745,"Syria",36.3705,37.5157
"Nablus",130326,"Palestine",32.2211,35.2544
"Tokat",129702,"Turkey",40.3139,36.5544
"Bilbays",129211,"Egypt",30.4204,31.5622
"Shahr-e Kord",129153,"Iran",32.3256,50.8644
"Bat Yam",128979,"Israel",32.0238,34.7519
"Arish",128855,"Egypt",31.1316,33.7984
"Idlib",128840,"Syria",35.9306,36.6339
"Sinah",128776,"Iraq",36.8085,43.0393
"Sakakah",128332,"Saudi Arabia",29.9697,40.2064
"Jirja",128250,"Egypt",26.3383,31.8916
"Ramat Gan",128095,"Israel",32.0823,34.8106
"Edirne",126470,"Turkey",41.6772,26.556
"Rafah",126305,"Palestine",31.2972,34.2436
"Torbat-e Heydariyeh",125633,"Iran",35.274,59.2195
"'Ajlun",125557,"Jordan",32.3333,35.7528
"Semnan",124826,"Iran",35.5769,53.3921
"Marand",124191,"Iran",38.4329,45.7749
"Az Zubayr",122676,"Iraq",30.3921,47.7018
"Beylikduezue",122452,"Turkey",40.982,28.6399
"Tekirdag",122287,"Turkey",40.9781,27.511
"Zabol",121989,"Iran",31.0306,61.4949
"Karaman",120399,"Turkey",37.1811,33.215
"Nabatiye et Tahta",120000,"Lebanon",33.3789,35.4839
"Nazilli",119370,"Turkey",37.9163,28.3223
"Ordu",116788,"Turkey",40.9778,37.8905
"Ras al-Khaimah",115949,"United Arab Emirates",25.7895,55.9432
"Siirt",114034,"Turkey",37.9293,41.9413
"Erzincan",114027,"Turkey",39.7392,39.4902
"Alanya",112969,"Turkey",36.5438,31.9998
"Douma",111864,"Syria",33.5718,36.4027
"Quchan",111752,"Iran",37.106,58.5095
"Masjed Soleyman",111510,"Iran",31.9364,49.3039
"Turhal",110884,"Turkey",40.3875,36.0811
"Bandar-e Anzali",110826,"Iran",37.4732,49.4579
"Kufa",110000,"Iraq",32.0511,44.4402
"Sohar",108274,"Oman",24.3475,56.7094
"Bandirma",107631,"Turkey",40.3522,27.9767
"Umm Qasr",107620,"Iraq",30.0362,47.9195
"As Suwayq",107143,"Oman",23.8494,57.4386
"Al Hawamidiyah",106841,"Egypt",29.9,31.25
